"71","Terminologia de tipo de atendimento por operadora intermediária"
"72","Terminologia de tipo de identificação de beneficiário"
"73","Terminologia de etapas de autorização"
"74","Terminologia de motivos de ausência do código de validação"
"87","Terminologia de tabelas de domínio"
"100","Legenda da mensagem de verificação de elegibilidade"
"101","Legenda da mensagem de resposta à verificação de elegibilidade"
"102","Legenda da mensagem de solicitação de autorização para realização de 
procedimentos"
"103","Legenda da mensagem de autorização para realização de procedimentos"
"104","Legenda da mensagem de envio de lote de anexos"
"105","Legenda da mensagem de recebimento de lote de anexos"
"106","Legenda da mensagem de solicitação de status de autorização"
"107","Legenda da mensagem de situação do status de autorização"
"108","Legenda da mensagem de envio de lote de guias para cobrança"
"109","Legenda da mensagem de recebimento de lote de guias de cobrança"
"110","Legenda da mensagem de solicitação de status do protocolo"
"111","Legenda da mensagem de situação do protocolo de cobrança"
"112","Legenda da mensagem de recurso de glosa"
"113","Legenda da mensagem de recebimento do recurso de glosa"
"114","Legenda da mensagem de resposta ao recurso de glosa"
"115","Legenda da mensagem de solicitação de status do recurso de glosa"
"116","Legenda da mensagem de solicitação de demonstrativos de retorno"
"117","Legenda da mensagem de demonstrativos de retorno para o prestador"
"118","Legenda da mensagem de comunicação de internação ou alta do beneficiário"
"119","Legenda da mensagem de resposta à comunicação de internação ou alta do 
beneficiário"
"120","Legenda da mensagem de solicitação de cancelamento de guia"
