"146","Mensagem de comunicação de internação ou alta do beneficiário 
(comunicacaoInternacao)"
"147","Mensagem de resposta à comunicação de internação ou alta do beneficiário 
(reciboComunicacao)"
"148","Mensagem de solicitação de cancelamento de guia (cancelaGuia)"
"149","Mensagem de resposta a solicitação de cancelamento da guia (reciboCancelaGuia)"
"150","Mensagem de envio de dados para ANS (envioOperadorasANS)"
"151","Anexo de outras despesas"
"152","Anexo de solicitação de quimioterapia"
"153","Anexo de solicitação de radioterapia"
"154","Anexo de solicitação OPME"
"155","Anexo tratamento odontológico - situação inicial"
"156","Guia de comprovante presencial"
"157","Guia de consulta"
"158","Guia de demonstrativo de análise da conta"
"159","Guia de demonstrativo de pagamento"
"160","Guia de demonstrativo de pagamento - tratamento odontológico"
"161","Guia de honorários"
"162","Guia de recurso de glosa"
"163","Guia de recurso de glosa odontológica"
"164","Guia de resumo de internação"
"165","Guia de serviços profissionais/serviço auxiliar de diagnóstico e terapia"
"166","Guia de solicitação de internação"
"167","Guia de solicitação de prorrogação de internação ou complementação do tratamento"
"168","Guia de tratamento odontológico"
