"44","Terminologia de situação inicial do dente"
"45","Terminologia de status da solicitação"
"46","Terminologia de status do cancelamento"
"47","Terminologia de status do protocolo"
"48","Terminologia de técnica utilizada"
"49","Terminologia de tipo de acomodação"
"50","Terminologia de tipo de atendimento"
"51","Terminologia de tipo de atendimento em odontologia"
"52","Terminologia de tipo de consulta"
"53","Terminologia de tipo de demonstrativo"
"54","Terminologia de tipo de guia"
"55","Terminologia de tipo de faturamento"
"56","Terminologia de natureza da guia"
"57","Terminologia de tipo de internação"
"58","Terminologia de tipo de quimioterapia"
"59","Terminologia de unidade da federação"
"60","Terminologia de unidade de medida"
"61","Terminologia de via de acesso"
"62","Terminologia de via de administração"
"63","Terminologia de grupos de procedimentos e itens assistenciais para envio para ANS"
"64","Terminologia de forma de envio de procedimentos e itens assistenciais para ANS"
"65","Terminologia de metástases"
"66","Terminologia de nódulo"
"67","Terminologia de tumor"
"68","Terminologia de categoria de despesa"
"69","Terminologia de versão do componente de comunicação padrão"
"70","Terminologia de forma de envio do padrão"
