"4","Componente de Comunicação"
"5","Componente de Segurança e Privacidade"
"18","Terminologia de diárias, taxas e gases medicinais"
"19","Terminologia de materiais e OPME"
"20","Terminologia de medicamentos"
"22","Terminologia de procedimentos e eventos em saúde"
"23","Terminologia de caráter do atendimento"
"24","Terminologia de Classificação Brasileira de Ocupações (CBO)"
"25","Terminologia de código da despesa"
"26","Terminologia de conselho profissional"
"27","Terminologia de débitos e créditos"
"28","Terminologia de dentes"
"29","Terminologia de diagnóstico por imagem"
"30","Terminologia de Escala de capacidade funcional (ECOG - Escala de Zubrod)"
"31","Terminologia de estadiamento do tumor"
"32","Terminologia de faces do dente"
"33","Terminologia de finalidade do tratamento"
"34","Terminologia de forma de pagamento"
"35","Terminologia de grau de participação"
"36","Terminologia de indicador de acidente"
"37","Terminologia de Indicador de débito ou crédito"
"38","Terminologia de mensagens (glosas, negativas e outras)"
"39","Terminologia de motivo de encerramento"
"40","Terminologia de origem do evento de atenção à saúde"
"41","Terminologia de regime de internação"
"42","Terminologia de regiões da boca"
"43","Terminologia de sexo"
